Date,Gear_oil_inlet_pressure,Gear_oil_inlet_temp,Gear_oil_pump_pressure,Gear_oil_temp,Gearbox_speed,Generator_bearing_rear_temp,Generator_bearing_front_temp,Generator_RPM,Front_bearing_temperature,Rear_bearing_temperature,Rotor_bearing_temp,Rotor_speed,Wind_speed,Wind_direction,Power
1/1/2021 0:00,-0.659494547,12.57750015,34.63492851,17.44249983,0.039500006,10.67499995,16.70000076,1.463679878,17.30000019,15.6150003,10.69999981,0,6.204656243,304.8331279,-1.338018031
1/1/2021 0:10,126.6532381,13.6875001,469.3691911,18.21999979,1.811526862,10.60000038,16.53500013,1.408301622,17.17250071,15.44499979,10.68749986,0,5.858887553,299.3385705,-2.593343498
1/1/2021 0:20,-1.469443449,14.76000009,42.64347401,18.22999992,5.818841692,10.42999973,16.42749977,3.158101369,17.10250044,15.48999996,10.60000038,0,6.069037509,299.1726686,-1.31934552
1/1/2021 0:30,-0.623635849,12.51999989,44.17181664,17.48499994,3.619358231,10.3275001,16.32000008,1.8695313,17.03500013,15.33999996,10.51000004,0,5.918868709,296.6477848,-1.11874953
1/1/2021 0:40,137.7952229,13.00249987,493.5550459,17.78500032,4.142413738,10.28500013,16.20000076,1.8571836,16.88499956,15.22000027,10.37999973,0,5.408306193,291.8273349,-2.80034155
1/1/2021 0:50,-1.710841179,12.56500006,43.77553997,17.4,1.758750336,10.19999981,16.10000038,1.420517748,16.71250019,15.05500021,10.28500013,0,5.58616879,287.7168551,-1.663453043
1/1/2021 1:00,-0.906215977,10.8083334,36.29256694,16.80555545,1.866436495,10.16111098,16.00833331,1.929893047,16.47777769,14.95555539,10.18333318,0,5.628958305,289.5372124,-2.16304618
1/1/2021 1:10,146.3253212,12.41749992,495.6455364,17.37000017,1.027247686,10,15.87000008,1.737763932,16.33499994,14.74499974,10,0,5.722087455,294.658396,-2.196419522
1/1/2021 1:20,-1.866940933,12.2650001,41.73159447,16.86500006,2.132581854,9.987499952,15.76500006,1.908789558,16.14500065,14.65750003,9.932499743,0,5.302049983,289.9638213,-1.368961021
1/1/2021 1:30,-0.819561698,10.36499996,34.19317961,16.23500032,2.863759061,9.899999619,15.68999982,1.679775747,16.03500013,14.48999996,9.899999619,0,5.434406233,295.0766139,-1.245722515
1/1/2021 1:40,140.6889475,12.5650001,491.2700065,16.93000002,0.490416584,9.799999666,15.60000038,1.44657295,15.88500009,14.32500005,9.699999809,0,5.625393701,305.5698713,-2.40768556
1/1/2021 1:50,-1.869534951,14.55500002,42.12268257,16.49500017,1.442546287,9.699999809,15.48999996,1.408038441,15.78500013,14.32500005,9.6974998,0,6.053043747,306.4682735,-0.985374535
1/1/2021 2:00,-0.974649575,11.97368416,51.58705922,16.02105271,2.378337329,9.615789715,15.39999962,1.389266958,15.72105252,14.23421047,9.600000381,0,6.054513153,307.1174339,-2.008206323
1/1/2021 2:10,137.2411691,12.76500015,498.2305677,16.40499997,3.249347038,9.600000381,15.32250013,1.426614823,15.67749991,14.1249999,9.600000381,0,5.928600049,306.3593455,-2.523455028
1/1/2021 2:20,-1.814297301,14.31749992,42.34988956,16.32000017,0.10004502,9.512500048,15.25000024,1.404814437,15.49499998,14.1099999,9.545000172,0,5.850300097,304.5674626,-1.264928527
1/1/2021 2:30,-0.754100486,11.74000001,34.3494319,15.76500006,0.235148538,9.489999962,15.10000038,1.436550021,15.34249997,13.90499969,9.5,0,6.389962482,310.6362103,-1.369494535
